A_0	A_1	A_2	A_3	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	R_8	R_9	R_10	R_11	R_12	R_13	R_14	R_15	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0	#	#	1	#	1	#	1	#	0	#	1	1	#	1	0	1	#	#	1	0.2373046875
0	1	#	0	#	1	0	0	0	#	#	1	#	1	#	0	#	0	1	0	0	1.0
#	0	0	0	0	1	#	#	1	#	1	1	#	#	#	0	#	#	#	#	0	0.5549289573066435
1	#	#	#	0	#	0	#	0	1	#	1	0	#	1	#	#	#	#	0	1	0.18593443208187066
0	1	0	1	0	0	#	#	#	1	#	0	#	#	1	#	1	#	0	#	1	1.0
1	0	1	#	#	#	1	1	1	#	0	#	1	1	#	#	#	1	1	1	0	1.0
#	#	0	0	1	0	#	#	#	0	0	0	1	0	1	#	#	#	0	1	0	0.03125
0	1	#	1	1	#	1	#	0	1	#	#	#	0	#	1	#	0	#	1	1	1.0
#	0	#	#	1	#	1	#	1	1	#	1	#	#	#	#	#	#	1	1	1	0.13168724279835387
0	0	#	1	0	#	#	0	#	#	#	1	#	#	#	#	#	0	1	#	1	0.13168724279835387
#	#	0	#	0	0	#	1	1	1	#	#	#	1	1	#	#	#	0	1	0	1.0
0	#	#	0	#	#	1	#	1	0	0	#	#	#	1	#	0	1	1	1	0	0.03125
0	#	0	0	#	#	1	#	0	#	1	#	1	0	#	0	1	1	#	0	0	1.0
#	#	#	#	1	1	0	#	#	#	#	#	#	#	#	#	#	#	1	1	1	0.1043582467665522
1	1	1	#	0	#	#	#	#	0	0	1	#	#	0	1	1	#	0	0	0	1.0
1	#	#	0	#	1	1	#	#	#	#	0	1	0	0	#	#	#	#	1	0	0.13168724279835387
1	#	#	0	#	#	#	0	#	1	0	#	0	0	#	#	#	1	#	#	1	0.13168724279835387
0	#	#	0	1	0	#	#	0	#	#	#	#	1	0	0	#	#	0	#	0	0.07775999999999998
#	0	#	0	0	#	1	1	#	0	#	0	#	#	1	0	1	#	0	#	1	1.0
#	#	0	1	1	1	1	#	1	1	#	1	#	1	#	#	1	1	#	#	1	1.0
#	#	1	1	#	#	#	1	0	1	#	0	#	1	1	#	#	0	#	0	0	1.0
