A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
1.0,#,1.0,1.0,#,#,0.0,1.0,#,0.0,1.0,1.0,0.14082878195139625,0.6756756756756757,1,54.69524178469909,4637,0,0.6363636363636364,0.0006725404169359686,25,37
1.0,#,#,#,#,0.0,#,#,#,1.0,1.0,1.0,0.16673541173519024,0.6988847583643123,1,64.64374273718683,4974,24,0.36363636363636365,0.0007948685895549205,188,269
1.0,0.0,#,1.0,1.0,0.0,#,#,0.0,#,#,0.0,0.38605762138600824,0.8266666666666667,1,65.01841983467877,4940,27,0.5454545454545454,0.0007994756720568226,62,75
#,0.0,0.0,#,0.0,0.0,1.0,1.0,#,0.0,#,1.0,0.3882095537407485,0.8275862068965517,1,64.17321706051474,4606,44,0.6363636363636364,0.0007890829393878773,24,29
#,0.0,0.0,#,1.0,0.0,#,1.0,#,0.0,1.0,1.0,0.28462802079628785,0.7777777777777778,1,80.13275583113099,4802,60,0.6363636363636364,0.000985323681885128,28,36
1.0,#,1.0,0.0,#,#,#,1.0,#,#,0.0,0.0,0.19512597488621103,0.7212121212121212,1,70.0642103071809,4998,113,0.45454545454545453,0.0008770869855366793,119,165
#,#,#,#,1.0,1.0,#,1.0,#,1.0,#,1.0,0.26398541348179905,0.7661538461538462,1,71.03948274354168,4980,118,0.36363636363636365,0.0008735115118665148,249,325
#,1.0,1.0,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1.0,15,80.85874848034095,4975,130,0.36363636363636365,0.014913758850345387,293,293
#,1.0,#,0.0,1.0,1.0,#,#,1.0,1.0,#,1.0,0.2555505776547269,0.7611940298507462,2,75.10446072861507,4881,136,0.5454545454545454,0.0018469901104378763,51,67
#,0.0,0.0,#,1.0,0.0,#,1.0,#,0.0,#,1.0,0.2935778904262872,0.782608695652174,2,84.59292775865094,4923,173,0.5454545454545454,0.0020803331715247256,54,69
1.0,#,#,1.0,#,1.0,#,1.0,#,#,#,1.0,0.09797294566627217,0.6283783783783784,1,74.52259139615522,4997,175,0.36363636363636365,0.0009163403077366028,186,296
#,#,0.0,#,1.0,1.0,1.0,1.0,#,#,#,1.0,0.23221250186065348,0.7467532467532467,1,84.04653913484965,4953,180,0.45454545454545453,0.0010334481140842069,115,154
1.0,#,#,0.0,#,#,#,#,#,#,0.0,0.0,0.09474574255091164,0.6241830065359477,1,63.62060745130877,4998,189,0.2727272727272727,0.0007780476722012377,382,612
#,0.0,#,0.0,#,#,#,#,#,#,#,0.0,0.11492995145846525,0.6487638533674339,1,74.07406989229618,4984,219,0.18181818181818182,0.0009108252239858533,761,1173
0.0,#,#,#,1.0,1.0,#,#,0.0,#,#,1.0,0.1781433270382272,0.7081967213114754,1,59.16128095135282,4962,255,0.36363636363636365,0.000727455465214152,216,305
#,#,0.0,#,#,#,#,1.0,0.0,1.0,0.0,1.0,0.24012300134298675,0.75177304964539,1,66.63966556751987,4822,267,0.45454545454545453,0.0008194107385368769,106,141
#,0.0,#,0.0,#,1.0,#,#,#,#,#,0.0,0.10979242280002384,0.6428571428571429,1,66.36775120188888,4954,277,0.2727272727272727,0.000816067241097882,378,588
#,#,0.0,#,1.0,#,1.0,1.0,#,#,#,1.0,0.11678741980238662,0.6508474576271186,1,82.31513547322368,4953,281,0.36363636363636365,0.0010121585301555343,192,295
#,#,0.0,#,1.0,#,#,1.0,#,#,0.0,1.0,0.11678741980238662,0.6508474576271186,1,77.46150851164823,4980,281,0.36363636363636365,0.0009524776476166298,192,295
1.0,#,#,#,#,#,#,#,1.0,#,#,1.0,0.09519994409568619,0.624780316344464,2,60.81567148884068,4997,282,0.18181818181818182,0.018735051542138444,711,1138
#,0.0,#,0.0,#,#,#,#,0.0,#,#,0.0,0.27429477998182417,0.7720465890183028,1,75.41994564253791,4971,296,0.2727272727272727,0.0009273743022726742,464,601
0.0,1.0,#,#,#,1.0,#,#,#,#,#,1.0,0.2575412249143059,0.7623762376237624,4,72.44599322650365,4980,312,0.2727272727272727,0.003563224653558311,462,606
0.0,0.0,#,#,1.0,1.0,0.0,0.0,#,#,#,1.0,0.2949395666152263,0.7833333333333333,1,57.65472641269635,4961,319,0.5454545454545454,0.0007089306578542503,47,60
0.0,#,0.0,1.0,#,#,#,0.0,#,#,#,1.0,0.22532211069926403,0.7422680412371134,1,69.62248970993974,4942,319,0.36363636363636365,0.0008560879654204579,216,291
1.0,#,#,#,1.0,#,#,#,#,0.0,#,0.0,0.10892995713892305,0.6418439716312057,1,76.54206724326983,4935,350,0.2727272727272727,0.0009411720679390144,362,564
0.0,#,#,1.0,1.0,1.0,#,1.0,#,#,#,1.0,0.542431070318369,0.8848484848484849,2,79.64719380279355,4980,356,0.45454545454545453,0.0019587062852292085,146,165
#,#,1.0,0.0,0.0,#,#,#,#,#,#,0.0,0.11499861554508109,0.6488413547237076,1,70.36166944393392,4998,359,0.2727272727272727,0.0008816589849767946,364,561
1.0,#,#,#,#,1.0,#,#,0.0,#,#,0.0,0.11975490969461244,0.6541218637992832,1,71.4705835116453,4954,366,0.2727272727272727,0.0008788123877902945,365,558
#,#,#,#,#,0.0,#,#,#,#,#,0.0,0.06958407134464797,0.5868160275743214,1,65.79499028230468,4998,367,0.09090909090909091,0.0008452634584291776,1362,2321
1.0,1.0,#,#,#,#,#,#,#,0.0,0.0,0.0,1.0,1.0,6,72.63154859420057,4935,377,0.36363636363636365,0.005358526670367195,287,287
1.0,#,#,#,1.0,0.0,0.0,1.0,1.0,#,#,1.0,0.3047211266817917,0.7884615384615384,1,76.56646541038643,4923,378,0.5454545454545454,0.00094147207124734,41,52
