Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
0,,,1,1,1,1,0.0,0,0,0,1,0,0.0001659393310546875,1.9073486328125e-06,2.1457672119140625e-06,3.0994415283203125e-06,0.0,8.20159912109375e-05
1,,,2,2,1,1,1.0,0,0,0,1,0,0.00026607513427734375,5.9604644775390625e-06,3.0994415283203125e-06,4.0531158447265625e-06,0.0,0.0001399517059326172
2,,,3,3,1,1,2.0,0,0,0,1,0,0.00035881996154785156,1.2159347534179688e-05,4.0531158447265625e-06,6.198883056640625e-06,0.0,0.00019097328186035156
3,,,4,4,1,1,3.0,0,0,0,1,0,0.0004470348358154297,1.6927719116210938e-05,4.76837158203125e-06,8.106231689453125e-06,0.0,0.00023794174194335938
4,,,5,5,1,1,4.0,0,0,0,1,0,0.0005340576171875,2.384185791015625e-05,5.7220458984375e-06,9.059906005859375e-06,0.0,0.0002849102020263672
5,,,6,6,1,1,5.0,0,0,0,1,0,0.0006210803985595703,3.314018249511719e-05,6.9141387939453125e-06,1.0967254638671875e-05,0.0,0.00033164024353027344
6,,,7,7,1,1,6.0,0,0,0,1,0,0.0007109642028808594,4.100799560546875e-05,7.867813110351562e-06,1.1920928955078125e-05,0.0,0.00037980079650878906
7,,,7,7,2,2,3.0,0,0,0,0,0,0.0007989406585693359,5.4836273193359375e-05,8.58306884765625e-06,1.3828277587890625e-05,0.0,0.0004258155822753906
8,,,8,8,1,1,8.0,0,0,0,1,0,0.0008897781372070312,6.67572021484375e-05,9.5367431640625e-06,1.4781951904296875e-05,0.0,0.0004718303680419922
9,,,9,9,1,1,9.0,0,0,0,1,0,0.0009810924530029297,7.891654968261719e-05,1.049041748046875e-05,1.5735626220703125e-05,0.0,0.0005168914794921875
10,,,10,10,1,1,10.0,0,0,0,1,0,0.0010728836059570312,9.274482727050781e-05,1.1682510375976562e-05,1.6927719116210938e-05,0.0,0.0005621910095214844
11,,,11,11,2,1,11.0,0,0,0,1,0,0.0011751651763916016,0.000110626220703125,1.2636184692382812e-05,1.7881393432617188e-05,0.0,0.0006101131439208984
12,,,12,12,1,1,12.0,0,0,0,1,0,0.0012679100036621094,0.00012755393981933594,1.33514404296875e-05,1.9073486328125e-05,0.0,0.0006561279296875
13,,,13,13,1,1,13.0,0,0,0,1,0,0.0013630390167236328,0.00014352798461914062,1.430511474609375e-05,2.09808349609375e-05,0.0,0.0007021427154541016
14,,,13,13,1,1,2.0,0,0,0,0,0,0.0014531612396240234,0.00016641616821289062,1.52587890625e-05,2.2649765014648438e-05,0.0,0.0007474422454833984
